id,title,content
AMA-0000001,Villa for Sale,"2BHK Fully furnished field View Villa in a gated property in the heart of the village, Assagao. The ground floor consists of the Dinning room and common Sitting area, Kitchen and a powder room. On the 2nd floor we get both the bedrooms with Balconies with attached bathrooms. Common swimming pool in the complex.;Ref Id: AMA-0000001"
AMA-0000002,Villa for Sale,"4BHK Fully furnished Independent Villa with its own landscaped Garden and covered car park is available for sale. Ground floor has the Hall/Sitting room with AC, Dinning area, Kitchen, common Restroom & 1 bedroom. On the First floor, 2 Master bedrooms with Acs with attached bathrooms/restrooms, 1 Bedroom, Open terrace.;Ref Id: AMA-0000002"
AMA-0000003,Property for Sale,"Nestled cozily in the heart of Calangute, less than km by road to the beach, with Sea-view from midway of the property onwards. 80% FSI. This property is commercially viable for anyone looking to set up a resort/hotel and can also put temporary structures towards the top of the property.
;Ref Id: AMA-0000003"
AMA-0000004,Apartments for Sale,"Gated Complex situated in Siolim surround by fields on one side, Complex provides a full Gym, Swimming pool, Private parking spot, Club house & Garbage disposal system. THREE apartments available come with kitchen hob & stove, jaguar fittings and other white goods.;Ref Id: AMA-0000004"
AMA-0000005,Portuguese Villa for Sale,"Situated inside the village of Saligao, with greenery on all sides, consists of 5 bedrooms (2 on the wooden panelled floored attic), Bathing area with 2 bathrooms, Kitchen with two small store rooms plus an extra room for laundry area, Well water, 2 Outhouses.;Ref Id: AMA-0000005"
AMA-0000006,Property for Sale,"The Property comes with Approvals for a hotel with 80% FSI, 100+ rooms can be approved. Its located just out of ear from the busy roads of Calangute with a beatiful field view through out the properties (Property parted by the main road, One side touching the Fields, while the other covers the foot of the hills, giving a raised view);Ref Id: AMA-0000006"
AMA-0000007,Luxury Riverfront Villa,"Luxury Villa for sale, fully furnished 3BHK luxury Villa, touching the banks of the Nerul river, Nerul.;Its rare to find a property that provides everything without compensating on quality or quantity from fine workmanship to attention to detail in design in contrast to the overly modern designs of other luxury villas, this suits the vibrant culture of Goa and captures the simplicity of the people, houses and surroundings of the river banks here in Goa . Furthermore this villa has all wood furniture and equipped with all the required appliances, the endless pool dripping over into the river (illusion of it) to the rustic interior and most noteworthy, the nehrul river which carasses the property.; ;Location: Nehrul
Total area: 800sqmt plot
Built up: around 200+ sq.mts;Price: 8.5 cr negotiable;Ref Id: AMA-0000007"
AMA-0000008,Private Beach Access Property,"This property is nestled cozily in the heart of Candolim with its own access to the beach. Approximately 35km from the proposed new Mopa airport, 35 km from Dabolim airport aswell.;With Candolim and Sinquerim has turned into a hot spot for high end tourists in the past decade due to the influx of 5 starred resorts, clubs, water sports etc, in a close proximity of 5km from the said property (Taj, ITC, Hyatt etc) and also other high end Villa and boutique projects.;Above all the unique selling point of this plot is that it is right on the beach and has its own private access being most noteworthy. Besides this its near the main road of Candolim which gives it easy access. Being centrally located on Candolim beach, its a stone throw away from the ‘fort Aguada’, Baga / calangute beaches and many more places of interest.;1) Total Area: 12010 sq.mt.;2) 0-200 mts High tide line: 5726 sq.mt. {the HTL from 0-200 will be reduced by July 2018 due to change in CRZ line, hence increasing the sqmt for 200-500mts HTL};3) 200-500 mts High tide line: 6284 sqmt;4) Asking price: 45000/- per sq.mt.;5) Approximately 3-10km from:
[a] Candolim health center [b] Dr. Dukle’s Hospital and [c] Bosio Hospital.;6) Nearest emergency stations: Approximately 4.5km to the Calangute Police station. 4.3km to the Pilerne fire station.;Location: Candolim beach;Size: 12010 sq.mt;Price: 45000 per sq.mt; ;Ref Id: AMA-0000008"
AMA-0000010,Land in Vagator for Sale,"This property is located in the prime area of Vagator and is close to the ‘W’ hotel and other well known commercial outlets, and around 30 meters from the main road, it gives a huge commercial boost to whoever may consider investing in this land. Its an old settlement and has a house number.;Location: Vagator;Size: 1900 sq.mts;Price: 18000 per sq.mt;Ref Id: AMA-0000010"
AMA-0000011,Beach front Property,"Beach front property which is located just of the main Calangute road, with its own access and breathtaking view of the sea and horizon which adds to the value and is also a unique selling point on its own for any commercial space like a resort and so on.;Location: Calangute;Size: 6000 sq.mts;Price: 58500/- per sq.mt, negotiable; ;
Video Playerhttps://amaspaces.com/wp-content/uploads/2018/06/AMA-0000011-9.mp400:0000:0000:16Use Up/Down Arrow keys to increase or decrease volume.;Ref Id: AMA-0000011"
